date,fatality_rate,med_fatal,med_injury,med_no_injury,not-head-on,head-on,year,month,summer_ind
2004-05-01,0.019524617996604415,133.0,150.0,62.0,94.0,251.0,2004,5,0
2004-06-01,0.017571301944835496,127.0,166.0,44.0,55.0,282.0,2004,6,1
2004-07-01,0.0204111964329948,143.0,194.0,75.0,78.0,334.0,2004,7,1
2004-08-01,0.022217872173827934,169.0,194.0,91.0,122.0,332.0,2004,8,1
2004-09-01,0.017821134666739333,144.0,113.0,70.0,63.0,264.0,2004,9,0
2004-10-01,0.020200994822860623,158.0,177.0,63.0,108.0,290.0,2004,10,0
2004-11-01,0.018442395289412286,128.0,132.0,72.0,48.0,284.0,2004,11,0
2004-12-01,0.015666050403814344,120.0,133.0,69.0,90.0,232.0,2004,12,0
2005-01-01,0.016070754462600444,106.0,119.0,73.0,90.0,208.0,2005,1,0
2005-02-01,0.01398053178284445,95.0,79.0,40.0,73.0,141.0,2005,2,0
2005-03-01,0.01772119506109654,113.0,120.0,44.0,113.0,164.0,2005,3,0
2005-04-01,0.01683092282093946,99.0,123.0,41.0,37.0,226.0,2005,4,0
2005-05-01,0.021147161066048668,135.0,156.0,74.0,87.0,278.0,2005,5,0
2005-06-01,0.02137791286727457,165.0,175.0,82.0,123.0,299.0,2005,6,1
2005-07-01,0.018245854326664385,154.0,175.0,44.0,57.0,316.0,2005,7,1
2005-08-01,0.021091627562361076,164.0,176.0,87.0,64.0,363.0,2005,8,1
2005-09-01,0.019686316928069228,155.0,139.0,70.0,109.0,255.0,2005,9,0
2005-10-01,0.017573309552536328,132.0,122.0,81.0,73.0,262.0,2005,10,0
2005-11-01,0.017300859893929252,141.0,128.0,67.0,108.0,228.0,2005,11,0
2005-12-01,0.018971788066450408,144.0,173.0,69.0,151.0,235.0,2005,12,0
2006-01-01,0.016402574894775934,104.0,104.0,57.0,94.0,171.0,2006,1,0
2006-02-01,0.01835104627368143,88.0,114.0,76.0,94.0,184.0,2006,2,0
2006-03-01,0.019536605429119825,109.0,125.0,51.0,69.0,216.0,2006,3,0
2006-04-01,0.018889183457051963,113.0,104.0,68.0,69.0,216.0,2006,4,0
2006-05-01,0.015965248787092406,122.0,100.0,61.0,49.0,234.0,2006,5,0
2006-06-01,0.01904173742988009,152.0,138.0,80.0,123.0,247.0,2006,6,1
2006-07-01,0.022741273100616015,161.0,183.0,99.0,120.0,323.0,2006,7,1
2006-08-01,0.02337959508531065,187.0,184.0,99.0,130.0,340.0,2006,8,1
2006-09-01,0.01808201485308363,148.0,133.0,55.0,70.0,266.0,2006,9,0
2006-10-01,0.01761221945137157,126.0,135.0,78.0,74.0,265.0,2006,10,0
2006-11-01,0.015577398402023337,105.0,112.0,54.0,68.0,203.0,2006,11,0
2006-12-01,0.015985109760770787,123.0,115.0,54.0,115.0,177.0,2006,12,0
2007-01-01,0.013589364844903988,80.0,89.0,61.0,93.0,137.0,2007,1,0
2007-02-01,0.01590169859053126,88.0,100.0,76.0,76.0,188.0,2007,2,0
2007-03-01,0.015026146819355267,83.0,103.0,41.0,64.0,163.0,2007,3,0
2007-04-01,0.020305289314873978,108.0,133.0,45.0,97.0,189.0,2007,4,0
2007-05-01,0.019106336222683432,125.0,119.0,69.0,73.0,240.0,2007,5,0
2007-06-01,0.01820882385300913,129.0,122.0,80.0,64.0,267.0,2007,6,1
2007-07-01,0.01639344262295082,129.0,118.0,61.0,42.0,266.0,2007,7,1
2007-08-01,0.017883211678832115,137.0,144.0,62.0,76.0,267.0,2007,8,1
2007-09-01,0.022365299898339547,147.0,163.0,86.0,86.0,310.0,2007,9,0
2007-10-01,0.018410088953946628,143.0,122.0,62.0,80.0,247.0,2007,10,0
2007-11-01,0.014197530864197531,115.0,95.0,43.0,86.0,167.0,2007,11,0
2007-12-01,0.019677572309151257,117.0,148.0,67.0,150.0,182.0,2007,12,0
2008-01-01,0.01651387667964335,108.0,106.0,49.0,88.0,175.0,2008,1,0
2008-02-01,0.012250453720508167,69.0,72.0,48.0,72.0,117.0,2008,2,0
2008-03-01,0.013262599469496022,75.0,88.0,27.0,71.0,119.0,2008,3,0
2008-04-01,0.015554115359688918,89.0,74.0,29.0,41.0,151.0,2008,4,0
2008-05-01,0.01597380029407833,94.0,112.0,33.0,63.0,176.0,2008,5,0
2008-06-01,0.014731843915504961,96.0,83.0,63.0,60.0,182.0,2008,6,1
2008-07-01,0.021217095264149798,140.0,153.0,56.0,131.0,218.0,2008,7,1
2008-08-01,0.016890156918687588,131.0,97.0,68.0,66.0,230.0,2008,8,1
2008-09-01,0.017098253004584313,127.0,98.0,51.0,61.0,215.0,2008,9,0
2008-10-01,0.01808100289296046,119.0,123.0,58.0,64.0,236.0,2008,10,0
2008-11-01,0.015620251625843311,101.0,105.0,51.0,62.0,195.0,2008,11,0
2008-12-01,0.01418699932734055,89.0,101.0,42.0,87.0,145.0,2008,12,0
2009-01-01,0.01363080684596577,83.0,93.0,47.0,91.0,132.0,2009,1,0
2009-02-01,0.014127468293466046,54.0,60.0,62.0,72.0,104.0,2009,2,0
2009-03-01,0.013801756587202008,70.0,64.0,31.0,78.0,87.0,2009,3,0
2009-04-01,0.015302332491457436,94.0,76.0,36.0,49.0,157.0,2009,4,0
2009-05-01,0.012861309997348183,86.0,78.0,30.0,52.0,142.0,2009,5,0
2009-06-01,0.015699417886752515,118.0,100.0,49.0,57.0,210.0,2009,6,1
2009-07-01,0.020616719149188997,138.0,121.0,88.0,94.0,253.0,2009,7,1
2009-08-01,0.017440225035161745,128.0,121.0,61.0,73.0,237.0,2009,8,1
2009-09-01,0.015334850844614832,104.0,103.0,49.0,53.0,203.0,2009,9,0
2009-10-01,0.013587119171604716,89.0,99.0,39.0,64.0,163.0,2009,10,0
2009-11-01,0.01505687421921231,100.0,92.0,37.0,79.0,150.0,2009,11,0
2009-12-01,0.014216259462120746,84.0,98.0,49.0,110.0,121.0,2009,12,0
2010-01-01,0.012072717063241385,67.0,60.0,45.0,64.0,108.0,2010,1,0
